"Month","Room_nights","Takings"
"1980-01",276986,7673
"1980-02",260633,7472
"1980-03",291551,8339
"1980-04",275383,7805
"1980-05",275302,7889
"1980-06",231693,6619
"1980-07",238829,6969
"1980-08",274215,8186
"1980-09",277808,8220
"1980-10",299060,9074
"1980-11",286629,8954
"1980-12",232313,7138
"1981-01",294053,8906
"1981-02",267510,8490
"1981-03",309739,9781
"1981-04",280733,8789
"1981-05",287298,9162
"1981-06",235672,7430
"1981-07",256449,8293
"1981-08",288997,9653
"1981-09",290789,9674
"1981-10",321898,10841
"1981-11",291834,9845
"1981-12",241380,7935
"1982-01",295469,9849
"1982-02",258200,8977
"1982-03",306102,10523
"1982-04",281480,9536
"1982-05",283101,9685
"1982-06",237414,8067
"1982-07",274834,10135
"1982-08",299340,11074
"1982-09",300383,11150
"1982-10",340862,12616
"1982-11",318794,12156
"1982-12",265740,9903
"1983-01",322656,11833
"1983-02",281563,11135
"1983-03",323461,12585
"1983-04",312579,11882
"1983-05",310784,11856
"1983-06",262785,9966
"1983-07",273754,10803
"1983-08",320036,12875
"1983-09",310336,12517
"1983-10",342206,13770
"1983-11",320052,13065
"1983-12",265582,10549
"1984-01",326988,12906
"1984-02",300713,12928
"1984-03",346414,14394
"1984-04",317325,12723
"1984-05",326208,13301
"1984-06",270657,10953
"1984-07",278158,11911
"1984-08",324584,14068
"1984-09",321801,14382
"1984-10",343542,14932
"1984-11",354040,15727
"1984-12",278179,11998
"1985-01",330246,14274
"1985-02",307344,14247
"1985-03",375874,17441
"1985-04",335309,15114
"1985-05",339271,15318
"1985-06",280264,12638
"1985-07",293689,13959
"1985-08",341161,16649
"1985-09",345097,16734
"1985-10",368712,17602
"1985-11",369403,18296
"1985-12",288384,13566
"1986-01",340981,15787
"1986-02",319072,16139
"1986-03",374214,18600
"1986-04",344529,17269
"1986-05",337271,17015
"1986-06",281016,13907
"1986-07",282224,15238
"1986-08",320984,17763
"1986-09",325426,18020
"1986-10",366276,19422
"1986-11",380296,21788
"1986-12",300727,16194
"1987-01",359326,19189
"1987-02",327610,19494
"1987-03",383563,22044
"1987-04",352405,19951
"1987-05",329351,19164
"1987-06",294486,16854
"1987-07",333454,19952
"1987-08",334339,20352
"1987-09",358000,21811
"1987-10",396057,24951
"1987-11",386976,25847
"1987-12",307155,19385
"1988-01",363909,22601
"1988-02",344700,24076
"1988-03",397561,26910
"1988-04",376791,24931
"1988-05",337085,23303
"1988-06",299252,20330
"1988-07",323136,22333
"1988-08",329091,23706
"1988-09",346991,24298
"1988-10",461999,31691
"1988-11",436533,32155
"1988-12",360372,25392
"1989-01",415467,28601
"1989-02",382110,28738
"1989-03",432197,30935
"1989-04",424254,31401
"1989-05",386728,29105
"1989-06",354508,26275
"1989-07",375765,28943
"1989-08",367986,28915
"1989-09",402378,31002
"1989-10",426516,33422
"1989-11",433313,35938
"1989-12",338461,25771
"1990-01",416834,31212
"1990-02",381099,31713
"1990-03",445673,36241
"1990-04",412408,31960
"1990-05",393997,32139
"1990-06",348241,28084
"1990-07",380134,31089
"1990-08",373688,31883
"1990-09",393588,31978
"1990-10",434192,36576
"1990-11",430731,38079
"1990-12",344468,28077
"1991-01",411891,32929
"1991-02",370497,30708
"1991-03",437305,35408
"1991-04",411270,33680
"1991-05",385495,31563
"1991-06",341273,27887
"1991-07",384217,32217
"1991-08",373223,32279
"1991-09",415771,35253
"1991-10",448634,37200
"1991-11",454341,39617
"1991-12",350297,28386
"1992-01",419104,33942
"1992-02",398027,33743
"1992-03",456059,38261
"1992-04",430052,34635
"1992-05",399757,32745
"1992-06",362731,29523
"1992-07",384896,32016
"1992-08",385349,33235
"1992-09",432289,36716
"1992-10",468891,38595
"1992-11",442702,38144
"1992-12",370178,29759
"1993-01",439400,35566
"1993-02",393900,33206
"1993-03",468700,38860
"1993-04",438800,34834
"1993-05",430100,37184
"1993-06",366300,29739
"1993-07",391000,32217
"1993-08",380900,32086
"1993-09",431400,36327
"1993-10",465400,38384
"1993-11",471500,40786
"1993-12",387500,31331
"1994-01",446400,36228
"1994-02",421500,35103
"1994-03",504800,44123
"1994-04",492071,39317
"1994-05",421253,34095
"1994-06",396682,32434
"1994-07",428000,36323
"1994-08",421900,36831
"1994-09",465600,40515
"1994-10",525793,46002
"1994-11",499855,43871
"1994-12",435287,37198
"1995-01",479499,40722
"1995-02",473027,41991
"1995-03",554410,49186
"1995-04",489574,42303
"1995-05",462157,40750
"1995-06",420331,37582

Monthly data relating to hotels, motels and guesthouses in Victoria. Jan 1980 ? June 1995.

